"Date","Price","Open","High","Low","Vol.","Change %"
"2013-12-17","2.3300","2.3250","2.3500","2.3187","","1.75%"
"2013-12-16","2.2900","2.3250","2.3250","2.3000","","-0.87%"
"2013-12-13","2.3100","2.3250","2.3250","2.3250","","0.00%"
"2013-12-12","2.3100","2.3250","2.3250","2.2988","","0.00%"
"2013-12-11","2.3100","2.3250","2.3250","2.2975","","0.87%"
"2013-12-10","2.2900","2.3250","2.3300","2.3050","","-0.87%"
"2013-12-09","2.3100","2.2950","2.3250","2.2950","","0.00%"
"2013-12-06","2.3100","2.2950","2.3250","2.2950","","1.32%"
"2013-12-05","2.2800","2.2950","2.3100","2.2950","","-0.44%"
"2013-12-04","2.2900","2.2650","2.3050","2.2650","","0.44%"
"2013-12-03","2.2800","2.2650","2.2988","2.2650","","0.88%"
"2013-12-02","2.2600","2.2650","2.2988","2.2638","","0.00%"
"2013-11-29","2.2600","2.2650","2.2950","2.2650","","0.56%"
"2013-11-28","2.2475","2.2650","2.2950","2.2638","","-0.55%"
"2013-11-27","2.2600","2.2650","2.2950","2.2638","","0.44%"
"2013-11-26","2.2500","2.2650","2.2850","2.2638","","0.00%"
"2013-11-25","2.2500","2.2650","2.2850","2.2515","","0.00%"
"2013-11-22","2.2500","2.2650","2.2850","2.2638","","0.11%"
"2013-11-21","2.2475","2.2650","2.2800","2.2638","","-0.11%"
"2013-11-20","2.2500","2.2650","2.2650","2.2650","","1.01%"
"2013-11-19","2.2275","2.2650","2.2650","2.2450","","0.00%"
"2013-11-18","2.2275","2.2650","2.2750","2.2290","","-0.11%"
"2013-11-15","2.2300","2.2650","2.2650","2.2315","","-0.89%"
"2013-11-14","2.2500","2.2650","2.2650","2.2650","","1.35%"
"2013-11-13","2.2200","2.2475","2.2475","2.2100","","-0.45%"
"2013-11-12","2.2300","2.2475","2.2475","2.2125","","0.45%"
"2013-11-11","2.2200","2.2350","2.2475","2.2075","","0.00%"
"2013-11-08","2.2200","2.2350","2.2350","2.2350","","0.00%"
"2013-11-07","2.2200","2.2350","2.2350","2.2145","","0.00%"
"2013-11-06","2.2200","2.2350","2.2350","2.2125","","0.00%"
"2013-11-05","2.2200","2.2350","2.2350","2.2350","","0.00%"
"2013-11-04","2.2200","2.2350","2.2350","2.1965","","0.57%"
"2013-11-01","2.2075","2.2100","2.2350","2.2100","","0.23%"
"2013-10-31","2.2025","2.2200","2.2200","2.2100","","0.00%"
"2013-10-30","2.2025","2.2100","2.2200","2.2065","","0.34%"
"2013-10-29","2.1950","2.2100","2.2100","2.1765","","0.00%"
"2013-10-28","2.1950","2.2100","2.2100","2.1925","","0.00%"
"2013-10-25","2.1950","2.2065","2.2100","2.2000","","0.46%"
"2013-10-24","2.1850","2.2065","2.2065","2.1900","","0.00%"
"2013-10-23","2.1850","2.2065","2.2065","2.1875","","0.46%"
"2013-10-22","2.1750","2.1900","2.2065","2.1775","","0.00%"
"2013-10-21","2.1750","2.1900","2.1900","2.1765","","0.00%"
"2013-10-18","2.1750","2.1775","2.1900","2.1775","","0.00%"
"2013-10-17","2.1750","2.1775","2.1975","2.1775","","0.69%"
"2013-10-16","2.1600","2.1900","2.1900","2.1775","","0.00%"
"2013-10-15","2.1600","2.1900","2.1900","2.1690","","-0.69%"
"2013-10-14","2.1750","2.1900","2.1900","2.1775","","0.00%"
"2013-10-11","2.1750","2.1775","2.1900","2.1775","","0.69%"
"2013-10-10","2.1600","2.1900","2.1900","2.1770","","-0.69%"
"2013-10-09","2.1750","2.1900","2.1900","2.1835","","0.00%"
"2013-10-08","2.1750","2.1900","2.1900","2.1800","","0.00%"
"2013-10-07","2.1750","2.1800","2.1900","2.1615","","0.46%"
"2013-10-04","2.1650","2.1800","2.1913","2.1775","","0.00%"
